Cost information,IDB study,Journal Rank,assigned_project_user,authors,cells,confidence_rating,continents,countries,doi,evaluation_method,evidence_types,id,income_level,intervention_ids,intervention_labels,journal_name,keywords_string,outcome_ids,outcome_labels,publication_of_type,publication_of_type_short,record_id,status,study_status,title,type,url,year_of_publication
None,No,"Not indexed / Other (grey literature, working papers, dissertations, reports)",,Cuong Nguyen Viet,"[""Rural roads | Goods and services prices and inflation"", ""Rural roads | Education access and outcomes"", ""Rural roads | Inequality and segregation""]",,"[""East Asia and Pacific""]","[""Vietnam""]",NO DOI,Fixed effects (incl. DiD),"[""Impact evaluations""]",33335,"[""Lower middle income""]","[""2162""]","[""Rural roads""]",Asia-Pacific Development Journal,Rural Roads|| Impact evaluations|| Household Welfare|| Household Surveys|| VIETNAM,"[""2195"", ""2197"", ""2199""]","[""Goods and services prices and inflation"", ""Education access and outcomes"", ""Inequality and segregation""]",Journal article,JOUR,33335,Published,completed,Estimation of the Impact of Rural Roads on Household Welfare in Viet Nam,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/estimation-of-the-impact-of-rural-roads-on-household-welfare-in-viet-nam/33335,2011
None,No,Q1,,"Benevenuto, Rodolfo Gomes; Caulfield B","[""Rural roads | Goods and services prices and inflation"", ""Rural roads | Health access and outcomes"", ""Rural roads | Inequality and segregation"", ""Rural roads | Employment access and outcomes"", ""Rural roads | Economic activity""]",,"[""Latin America and Caribbean""]","[""Brazil""]",10.1016/j.tranpol.2022.02.013,Fixed effects (incl. DiD),"[""Impact evaluations""]",33290,"[""Upper middle income""]","[""2162""]","[""Rural roads""]",TRANSPORT POLICY,,"[""2195"", ""2196"", ""2199"", ""2201"", ""2202""]","[""Goods and services prices and inflation"", ""Health access and outcomes"", ""Inequality and segregation"", ""Employment access and outcomes"", ""Economic activity""]",Journal article,JOUR,33290,Published,completed,Examining the Socioeconomic Outcomes of Transport Interventions in the Global South,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/examining-the-socioeconomic-outcomes-of-transport-interventions-in-the-global-south/33290,2022
Cost information (program costs and/or cost per participant),No,Q1,,"Ahmed Hasen, Musa; Tesfaye, Wondimagegn; Dietrich, Stephan; Gassmann, Franziska","[""Rural roads | Goods and services prices and inflation"", ""Rural roads | Education access and outcomes"", ""Rural roads | Inequality and segregation""]",,"[""Sub-Saharan Africa""]","[""Ethiopia""]",10.1080/00220388.2024.2383397,Fixed effects (incl. DiD),"[""Impact evaluations""]",33263,"[""Low income""]","[""2162""]","[""Rural roads""]",JOURNAL OF DEVELOPMENT STUDIES,HUMAN capital|| Child Labour|| Rural Roads|| Drought|| quasi-experiment,"[""2195"", ""2197"", ""2199""]","[""Goods and services prices and inflation"", ""Education access and outcomes"", ""Inequality and segregation""]",,,33263,Published,completed,"Rural Roads, Child Labor, and Schooling in Rural Ethiopia",ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/rural-roads--child-labor--and-schooling-in-rural-ethiopia/33263,2024
None,No,Q1,,"Anti, Sebastian; Zhang, Zhihui","[""Rural roads | Goods and services prices and inflation"", ""Rural roads | Health access and outcomes"", ""Rural roads | Inequality and segregation"", ""Rural roads | Crime and citizen security"", ""Rural roads | Employment access and outcomes""]",,"[""East Asia and Pacific""]","[""Cambodia""]",10.1016/j.worlddev.2023.106361,Fixed effects (incl. DiD),"[""Impact evaluations""]",34373,"[""Low income""]","[""2162""]","[""Rural roads""]",World Development,Roads|| Female empowerment|| Domestic Violence|| Gender Equity|| Female Employment|| Contraceptive Use,"[""2195"", ""2196"", ""2199"", ""2200"", ""2201""]","[""Goods and services prices and inflation"", ""Health access and outcomes"", ""Inequality and segregation"", ""Crime and citizen security"", ""Employment access and outcomes""]",Journal article,JOUR,34373,Published,completed,"Roads, Women's Employment, and Gender Equity: Evidence from Cambodia",ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/roads--women-s-employment--and-gender-equity--evidence-from-cambodia/34373,2023
None,No,Q1,,"Djemai, Elodie","[""Rural roads | Goods and services prices and inflation"", ""Rural roads | Inequality and segregation""]",,"[""Multi-continent""]","[""Multi-country""]",10.1016/j.worlddev.2024.106691,Fixed effects (incl. DiD),"[""Impact evaluations""]",34365,[],"[""2162""]","[""Rural roads""]",World Development,Roads|| Subjective Well-Being|| Basic Needs|| material deprivation|| Africa,"[""2195"", ""2199""]","[""Goods and services prices and inflation"", ""Inequality and segregation""]",Journal article,JOUR,34365,Published,completed,Take the Highway? Paved Roads and Well-Being in Africa,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/take-the-highway--paved-roads-and-well-being-in-africa/34365,2024
Cost information (program costs and/or cost per participant),No,"Not indexed / Other (grey literature, working papers, dissertations, reports)",,"Benyishay, Ariel; Parks, Brad; Trichler, Rachel; Baehr, Christian; Aboagye, Daniel; Prum, Punwath","[""Rural roads | Health access and outcomes"", ""Rural roads | Access to other goods and services"", ""Rural roads | Economic activity"", ""Rural roads | Household welfare and poverty""]",,"[""East Asia and Pacific""]","[""Cambodia""]",No DOI,Fixed effects (incl. DiD),"[""Impact evaluations""]",20416,"[""Low income""]","[""2162""]","[""Rural roads""]",Other,Foundation Stone|| Infrastructure|| Governance|| Cambodia,"[""2196"", ""2198"", ""2202"", ""2361""]","[""Health access and outcomes"", ""Access to other goods and services"", ""Economic activity"", ""Household welfare and poverty""]",Published report,RPRT,20416,Published,completed,Building on a Foundation Stone: The Long-Term Impacts of a Local Infrastructure and Governance Program in Cambodia,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/building-on-a-foundation-stone--the-long-term-impacts-of-a-local-infrastructure-and-governance-program-in-cambodia/20416,2019
Cost information (program costs and/or cost per participant),No,"Not indexed / Other (grey literature, working papers, dissertations, reports)",,"Shilpa, Aggarwal","[""Rural roads | Health access and outcomes""]",,"[""South Asia""]","[""India""]",No DOI,Fixed effects (incl. DiD),"[""Impact evaluations""]",11496,"[""Low income""]","[""2162""]","[""Rural roads""]",Other,Roads|| Healthcare|| Service Delivery|| Vaccination,"[""2196""]","[""Health access and outcomes""]",Published working paper,RPRT,11496,Published,completed,The Long Road To Health: Healthcare Utilization Impacts Of A Road Pavement Policy In Rural India,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/the-long-road-to-health--healthcare-utilization-impacts-of-a-road-pavement-policy-in-rural-india/11496,2018
Cost information (program costs and/or cost per participant),No,Q1,,"Dasgupta, Aparajita; Karandikar, Anahita; Raghav, Devvrat","[""Rural roads | Health access and outcomes"", ""Rural roads | Employment access and outcomes""]",,"[""South Asia""]","[""India""]",https://doi.org/10.1111/padr.12604,Fixed effects (incl. DiD),"[""Impact evaluations""]",30923,"[""Low income""]","[""2162""]","[""Rural roads""]",Population and Development Review,Rural Roads|| Fertility Rate|| child health|| India,"[""2196"", ""2201""]","[""Health access and outcomes"", ""Employment access and outcomes""]",Journal article,JOUR,30923,Published,completed,"Road Access, Fertility, and Child Health in Rural India",ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/road-access--fertility--and-child-health-in-rural-india/30923,2024
None,No,Q1,,"Djemai, Elodie","[""Rural roads | Health access and outcomes""]",,"[""Sub-Saharan Africa""]","[""Cameroon"", ""Ethiopia"", ""Kenya"", ""Malawi"", ""Zimbabwe""]",https://doi.org/10.1016/j.jhealeco.2018.05.004,Instrumental variable estimation,"[""Impact evaluations""]",34339,"[""Lower middle income"", ""Low income""]","[""2162""]","[""Rural roads""]",Journal of Health Economics,,"[""2196""]","[""Health access and outcomes""]",Journal article,JOUR,34339,Published EGM,completed,Roads and the Spread of HIV in Africa,ier,https://www.sciencedirect.com/science/article/abs/pii/S0167629617304782?via%3Dihub,2018
None,No,"Not indexed / Other (grey literature, working papers, dissertations, reports)",,Banerjee Rakesh; Sachdeva Ashish,"[""Rural roads | Health access and outcomes""]",,"[""South Asia""]","[""India""]",10.2139/ssrn.2636999,Regression discontinuity design,"[""Impact evaluations""]",33281,"[""Low income""]","[""2162""]","[""Rural roads""]",USC-INET Research Paper,Roads|| Preventive Health Care,"[""2196""]","[""Health access and outcomes""]",Published working paper,RPRT,33281,Published,completed,"Pathways to Preventive Health, Evidence from India's Rural Road Program",ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/pathways-to-preventive-health--evidence-from-india-s-rural-road-program/33281,2015
Cost information (program costs and/or cost per participant),No,"Not indexed / Other (grey literature, working papers, dissertations, reports)",,"Abou-Ali, Hala; El-Azony, Hesham; El-Laithy, Heba; Haughton, Jonathan; Khandker, Shahidur R.","[""Rural roads | Health access and outcomes"", ""Rural roads | Education access and outcomes"", ""Rural roads | Employment access and outcomes""]",,"[""Middle East and North Africa""]","[""Egypt, Arab Rep.""]",No DOI,Statistical matching,"[""Impact evaluations""]",21611,"[""Low income""]","[""2162""]","[""Rural roads""]",World Bank Policy Research Working Paper,Community Development|| Social Funds|| Public Works Program|| Microcredit|| Impact evalaution|| Egypt,"[""2196"", ""2197"", ""2201""]","[""Health access and outcomes"", ""Education access and outcomes"", ""Employment access and outcomes""]",Published working paper,RPRT,21611,Published,completed,Evaluating the Impact of Egyptian Social Fund for Development Programs,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/evaluating-the-impact-of-egyptian-social-fund-for-development-programs/21611,2009
Cost information (program costs and/or cost per participant),No,"Not indexed / Other (grey literature, working papers, dissertations, reports)",,"Foster, Vivien; Gorgulu, Nisan; Straub, Stéphane; Vagliasindi, Maria","[""Urban trains (subways, passenger trains, LRT, metros) | Health access and outcomes"", ""Urban trains (subways, passenger trains, LRT, metros) | Education access and outcomes"", ""Urban trains (subways, passenger trains, LRT, metros) | Employment access and outcomes"", ""Urban trains (subways, passenger trains, LRT, metros) | Economic activity"", ""Urban trains (subways, passenger trains, LRT, metros) | Agricultural outcomes"", ""Urban trains (subways, passenger trains, LRT, metros) | Household welfare and poverty"", ""Rural roads | Health access and outcomes"", ""Rural roads | Education access and outcomes"", ""Rural roads | Employment access and outcomes"", ""Rural roads | Economic activity"", ""Rural roads | Agricultural outcomes"", ""Rural roads | Household welfare and poverty"", ""Highways and national roads | Health access and outcomes"", ""Highways and national roads | Education access and outcomes"", ""Highways and national roads | Employment access and outcomes"", ""Highways and national roads | Economic activity"", ""Highways and national roads | Agricultural outcomes"", ""Highways and national roads | Household welfare and poverty"", ""Railways and intermunicipal trains | Health access and outcomes"", ""Railways and intermunicipal trains | Education access and outcomes"", ""Railways and intermunicipal trains | Employment access and outcomes"", ""Railways and intermunicipal trains | Economic activity"", ""Railways and intermunicipal trains | Agricultural outcomes"", ""Railways and intermunicipal trains | Household welfare and poverty"", ""Ports | Health access and outcomes"", ""Ports | Education access and outcomes"", ""Ports | Employment access and outcomes"", ""Ports | Economic activity"", ""Ports | Agricultural outcomes"", ""Ports | Household welfare and poverty""]",low,"[""Multi-continent""]","[""Multi-country""]",10.1596/1813-9450-10343,,"[""Low confidence reviews""]",33766,[],"[""2155"", ""2162"", ""2163"", ""2164"", ""2167""]","[""Urban trains (subways, passenger trains, LRT, metros)"", ""Rural roads"", ""Highways and national roads"", ""Railways and intermunicipal trains"", ""Ports""]",World Bank Policy Research Working Paper,infrastructure|| development impact|| Transport|| Rural Road|| highway|| railroad|| ports,"[""2196"", ""2197"", ""2201"", ""2202"", ""2204"", ""2361""]","[""Health access and outcomes"", ""Education access and outcomes"", ""Employment access and outcomes"", ""Economic activity"", ""Agricultural outcomes"", ""Household welfare and poverty""]",Published working paper,RPRT,33766,Published,completed,The Impact of Infrastructure on Development Outcomes: A Qualitative Review of Four Decades of Literature,srr,https://developmentevidence.3ieimpact.org/search-result-details/systematic-review-repository/the-impact-of-infrastructure-on-development-outcomes--a-qualitative-review-of-four-decades-of-literature/33766,2023
